Year,Canada,France,Germany,Italy,Japan,United Kingdom,United States
1999,,,,,,,
2000,1.26,0.41,0.54,0.4,0.42,0.35,0.63
2001,1.22,0.39,0.46,0.39,0.41,0.34,0.61
2002,1.22,0.38,0.44,0.41,0.4,0.33,0.59
2003,1.19,0.36,0.44,0.41,0.39,0.31,0.57
2004,1.23,0.37,0.44,0.43,0.38,0.32,0.58
2005,1.18,0.36,0.42,0.38,0.37,0.3,0.58
2006,1.22,0.36,0.42,0.39,0.37,0.3,0.56
2007,1.28,0.36,0.43,0.37,0.37,0.28,0.52
2008,1.22,0.36,0.42,0.35,0.36,0.27,0.49
2009,1.27,0.34,0.43,0.33,0.33,0.25,0.45
2010,1.28,0.32,0.41,0.33,0.33,0.23,0.44
2011,1.32,0.33,0.41,0.33,0.33,0.24,0.43
2012,1.32,0.32,0.4,0.28,0.35,0.22,0.43
2013,1.35,0.31,0.39,0.29,0.35,0.22,0.43
2014,1.3,0.32,0.39,0.26,0.34,0.24,0.43
2015,1.31,0.29,0.38,0.26,0.32,0.23,0.43
2016,1.27,0.28,0.38,0.24,0.32,0.23,0.42
2017,1.3,0.29,0.37,0.25,0.31,0.23,0.41
2018,1.25,0.28,0.35,0.24,0.3,0.22,0.41
2019,1.26,0.27,0.35,0.22,0.3,0.21,0.39
2020,,,,,,,
