indicator,numeric,yearly,single_ind,threshold_g7,included,direction
ind1.1.1,1,1,1,1,1,-1
ind1.A.1(1),1,1,1,1,1,1
ind1.A.2(1),1,1,1,1,1,1
ind2.5.2,1,1,1,1,1,-1
ind3.1.1,1,1,1,1,1,-1
ind3.2.1,1,1,1,1,1,-1
ind3.2.2,1,1,1,1,1,-1
ind3.3.2,1,1,1,1,1,-1
ind3.4.1,1,1,1,1,1,-1
ind3.4.2,1,1,1,1,1,-1
ind3.6.1(1),1,1,1,1,1,-1
ind3.B.1(1),1,1,1,1,1,1
ind6.1.1(1),1,1,1,1,1,1
ind6.2.1(1),1,1,1,1,1,1
ind7.1.1,1,1,1,1,1,1
ind7.1.2,1,1,1,1,1,1
ind7.2.1,1,1,1,1,1,1
ind7.3.1,1,1,1,1,1,-1
ind8.1.1,1,1,1,1,1,1
ind8.2.1,1,1,1,1,1,1
ind8.4.2(1),1,1,1,1,1,-1
ind8.4.2(2),1,1,1,1,1,-1
ind8.5.2(1),1,1,1,1,1,-1
ind9.1.2(1),1,1,1,1,1,-1
ind9.1.2(2),1,1,1,1,1,1
ind9.1.2(3),1,1,1,1,1,1
ind9.2.1,1,1,1,1,1,1
ind9.2.2(1),1,1,1,1,1,1
ind9.2.2(2),1,1,1,1,1,1
ind9.4.1,1,1,1,1,1,-1
ind9.5.1,1,1,1,1,1,1
ind9.5.2,1,1,1,1,1,1
ind9.C.1(1),1,1,1,1,1,1
ind9.C.1(2),1,1,1,1,1,1
ind12.2.2(1),1,1,1,1,1,-1
ind12.2.2(2),1,1,1,1,1,-1
ind13.1.1(1),1,1,1,1,1,-1
ind14.1.1(1),1,1,1,1,1,-1
ind15.1.1,1,1,1,1,1,1
ind15.1.2(1),1,1,1,1,1,1
ind15.4.1,1,1,1,1,1,1
ind15.A.1(1),1,1,1,1,1,1
